x_ethanol,Tbub,y_ethanol,Tdew
0.841741,351.984,0.841741,352.656
0.842432,351.98,0.842432,352.639
0.843122,351.975,0.843122,352.622
0.843811,351.97,0.843811,352.606
0.844498,351.965,0.844498,352.59
0.845185,351.96,0.845185,352.574
0.84587,351.955,0.84587,352.558
0.846554,351.95,0.846554,352.543
0.847237,351.946,0.847237,352.527
0.847918,351.941,0.847918,352.512
0.848599,351.936,0.848599,352.497
0.849278,351.931,0.849278,352.482
0.849956,351.927,0.849956,352.467
0.850633,351.922,0.850633,352.452
0.851309,351.917,0.851309,352.438
0.851983,351.913,0.851983,352.424
0.852657,351.908,0.852657,352.41
0.853329,351.904,0.853329,352.396
0.854,351.899,0.854,352.382
0.854671,351.895,0.854671,352.368
0.855339,351.89,0.855339,352.354
0.856007,351.886,0.856007,352.341
0.856674,351.881,0.856674,352.328
0.857339,351.877,0.857339,352.315
0.858004,351.872,0.858004,352.302
0.858667,351.868,0.858667,352.289
0.859329,351.864,0.859329,352.276
0.85999,351.859,0.85999,352.264
0.86065,351.855,0.86065,352.252
0.861309,351.851,0.861309,352.239
0.861967,351.846,0.861967,352.227
0.862623,351.842,0.862623,352.215
0.863279,351.838,0.863279,352.204
0.863933,351.834,0.863933,352.192
0.864587,351.83,0.864587,352.18
0.865239,351.826,0.865239,352.169
0.86589,351.821,0.86589,352.158
0.86654,351.817,0.86654,352.147
0.867189,351.813,0.867189,352.136
0.867837,351.809,0.867837,352.125
0.868483,351.805,0.868483,352.114
0.869129,351.801,0.869129,352.104
0.869774,351.797,0.869774,352.093
0.870417,351.793,0.870417,352.083
0.87106,351.789,0.87106,352.073
0.871701,351.786,0.871701,352.063
0.872341,351.782,0.872341,352.053
0.872981,351.778,0.872981,352.043
0.873619,351.774,0.873619,352.033
0.874256,351.77,0.874256,352.023
0.874892,351.767,0.874892,352.014
0.875527,351.763,0.875527,352.005
0.876161,351.759,0.876161,351.995
0.876794,351.755,0.876794,351.986
0.877426,351.752,0.877426,351.977
0.878057,351.748,0.878057,351.968
0.878686,351.744,0.878686,351.96
0.879315,351.741,0.879315,351.951
0.879943,351.737,0.879943,351.942
0.88057,351.734,0.88057,351.934
0.881195,351.73,0.881195,351.926
0.88182,351.727,0.88182,351.917
0.882444,351.723,0.882444,351.909
0.883066,351.72,0.883066,351.901
0.883688,351.717,0.883688,351.893
0.884308,351.713,0.884308,351.886
0.884928,351.71,0.884928,351.878
0.885546,351.707,0.885546,351.87
0.886164,351.703,0.886164,351.863
0.88678,351.7,0.88678,351.856
0.887396,351.697,0.887396,351.848
0.88801,351.694,0.88801,351.841
0.888624,351.691,0.888624,351.834
0.889237,351.687,0.889237,351.827
0.889848,351.684,0.889848,351.82
0.890459,351.681,0.890459,351.813
0.891068,351.678,0.891068,351.807
0.891677,351.675,0.891677,351.8
0.892284,351.672,0.892284,351.794
0.892891,351.669,0.892891,351.787
0.893496,351.666,0.893496,351.781
0.894101,351.663,0.894101,351.775
0.894705,351.66,0.894705,351.769
0.895307,351.658,0.895307,351.763
0.895909,351.655,0.895909,351.757
0.89651,351.652,0.89651,351.751
0.89711,351.649,0.89711,351.745
0.897708,351.646,0.897708,351.74
0.898306,351.644,0.898306,351.734
0.898903,351.641,0.898903,351.728
0.899499,351.638,0.899499,351.723
0.900094,351.636,0.900094,351.718
0.900688,351.633,0.900688,351.713
0.901281,351.631,0.901281,351.707
0.901873,351.628,0.901873,351.702
0.902464,351.626,0.902464,351.697
0.903055,351.623,0.903055,351.693
0.903644,351.621,0.903644,351.688
0.904232,351.618,0.904232,351.683
0.90482,351.616,0.90482,351.678
0.905406,351.614,0.905406,351.674
0.905992,351.611,0.905992,351.669
0.906576,351.609,0.906576,351.665
0.90716,351.607,0.90716,351.661
0.907743,351.605,0.907743,351.657
0.908325,351.602,0.908325,351.652
0.908905,351.6,0.908905,351.648
